ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
GOOG,2025-07-24,2025-06-30,2.31,362916000000,12198000000,96428000000,0.21
GOOG,2025-04-25,2025-03-31,2.81,345267000000,12291000000,90234000000,0.2
GOOG,2025-02-05,2024-12-31,8.04,325084000000,12447000000,350018000000,0.6
GOOG,2025-02-05,2024-12-31,2.14,325084000000,11478000000,96469000000,0.2
GOOG,2024-10-30,2024-09-30,2.12,314119000000,12419000000,88268000000,0.2
GOOG,2024-07-24,2024-06-30,1.89,300753000000,12495000000,84742000000,0.2
GOOG,2024-04-26,2024-03-31,1.89,292844000000,13396000000,80539000000,NA
GOOG,2024-01-31,2023-12-31,5.8,283379000000,13599000000,307394000000,NA
GOOG,2024-01-31,2023-12-31,1.64,283379000000,15230000000,86310000000,NA
GOOG,2023-10-25,2023-09-30,1.55,273202000000,12696000000,76693000000,NA
GOOG,2023-07-26,2023-06-30,1.44,267141000000,12764000000,74604000000,NA
GOOG,2023-04-26,2023-03-31,1.17,260894000000,13706000000,69787000000,NA
GOOG,2023-02-03,2022-12-31,4.56,256144000000,14046000000,282836000000,NA
GOOG,2023-02-03,2022-12-31,1.06,256144000000,13834000000,76048000000,NA
GOOG,2022-10-26,2022-09-30,1.06,253626000000,13982000000,69092000000,NA
GOOG,2022-07-27,2022-06-30,1.21,255419000000,14126000000,69685000000,NA
GOOG,2022-04-27,2022-03-31,1.23,254004000000,14242000000,68011000000,NA
GOOG,2022-02-02,2021-12-31,5.61,251635000000,14462000000,257637000000,NA
GOOG,2022-02-02,2021-12-31,1.53,251635000000,28176089000,75325000000,NA
GOOG,2021-10-27,2021-09-30,1.4,244567000000,14438000000,65118000000,NA
GOOG,2021-07-28,2021-06-30,1.36,237565000000,14506000000,61880000000,NA
GOOG,2021-04-28,2021-03-31,26.29,230013000000,727911000,55314000000,NA
GOOG,2021-02-03,2020-12-31,2.93,222544000000,14665000000,182527000000,NA
